i,j,PSR,parameters,parm
3,1848,1.0312001,insured,1848
3,1849,1.015,healthProv,1849
3,1850,1.0149,medicalUti,1850
3,1851,1.0396,erCare_re,1851
3,1852,1.0142,sapro_lf,1852
3,1853,1.02,hivpp_lf,1853
3,1854,1.0074,homeless_l,1854
3,1855,1.0821,incarcerat,1855
3,1856,1.0174,ipv_lf,1856
3,1857,1.0157,sexex_lf,1857
3,1858,1.0204,suicide_lf,1858
3,1859,1.0207,hospitalmh,1859
3,1860,1.0257,sexab_lf,1860
3,1861,1.0559,tmx5old_lf,1861
3,1862,1.0474,tmrob_lf,1862
3,1863,1.0012,tmotinj_lf,1863
3,1864,1.0309,tmotmdr_lf,1864
3,1865,1.0305001,smoke_lf,1865
3,1866,nan, Residual Var.,1866
3,1867,nan,Tau,1867
3,1868,1.0168, Grand Mean,1868
3,1869,1.0104001,depression,1869
3,1870,1.0233999,age,1870
3,1871,1.0221,audit_c,1871
3,1872,1.0157,count_lf,1872
3,1873,1.0154999,ptsd,1873
3,1874,1.0046,anxietyr,1874
3,1875,1.0005,sadr,1875
3,1876,1.0064,intfsocr,1876
3,1877,1.0512,energr,1877
3,1878,1.0132999,anxiety_ra,1878
3,1879,1.0168,srMentH,1879
3,1880,1.0194,srPhysH,1880
3,1881,1.0215,srLivSit,1881
3,1882,1.049,srDrugFree,1882
3,1883,1.0211999,srSocNet,1883
3,1884,1.0172,srSexRx,1884
3,1885,1.0338,ssHelp,1885
3,1886,1.0012,ssEmoHelp,1886
3,1887,1.0022,ssNewFri,1887
3,1888,1.007,smAppFreq,1888
3,1889,1.0166,datingAppF,1889
3,1890,1.0125999,losAng,1890
3,1891,1.0066,RaceEthnic#2,1891
3,1892,1.0182,RaceEthnic#3,1892
3,1893,1.0132999,RaceEthnic#4,1893
3,1894,1.0488,female,1894
3,1895,1.0077,cis,1895
3,1896,1.006,heterosexu,1896
3,1897,1.1339,employed,1897
3,1898,1.1153001,poverty,1898
3,1899,1.0487,insured,1899
3,1900,1.0496,healthProv,1900
3,1901,1.0153,medicalUti,1901
3,1902,1.0132,erCare_re,1902
3,1903,1.0266,sapro_lf,1903
3,1904,1.1397001,hivpp_lf,1904
3,1905,1.0256,homeless_l,1905
3,1906,1.0896,incarcerat,1906
3,1907,1.0562,ipv_lf,1907
3,1908,1.0807,sexex_lf,1908
3,1909,1.0753,suicide_lf,1909
3,1910,1.0681,hospitalmh,1910
3,1911,1.0824,sexab_lf,1911
3,1912,1.0848,tmx5old_lf,1912
3,1913,1.0203,tmrob_lf,1913
3,1914,1.0034,tmotinj_lf,1914
3,1915,1.0214,tmotmdr_lf,1915
3,1916,1.0276999,xdrug_r,1916
3,1917,nan, Residual Var.,1917
3,1918,nan,Tau,1918
4,1,1.0456001,Grand Mean,1
4,2,1.001,age,2
4,3,1.0039001,audit_c,3
4,4,1.001,count_lf,4
4,5,1.0092,ptsd,5
4,6,1.0082999,anxietyr,6
4,7,1.0072,sadr,7
4,8,1.0055,intfsocr,8
4,9,1.0014,energr,9
4,10,1.0056,anxiety_ra,10
4,11,1.0025001,srMentH,11
4,12,1.0008,srPhysH,12
4,13,1.001,srLivSit,13
4,14,1.0002,srDrugFree,14
4,15,1.0026,srSocNet,15
4,16,1.0017999,srSexRx,16
4,17,1.0102,ssHelp,17
4,18,1.0055,ssEmoHelp,18
4,19,1.0006,ssNewFri,19
4,20,1.0015,smAppFreq,20
4,21,1.0115,datingAppF,21
4,22,1.005,losAng,22
4,23,1.0045,RaceEthnic#2,23
4,24,1.016,RaceEthnic#3,24
4,25,1.0087,RaceEthnic#4,25
4,26,1.0005,female,26
4,27,1.0057,cis,27
4,28,1.0094,heterosexu,28
4,29,1.0095,employed,29
4,30,1.0007,poverty,30
4,31,1.007,insured,31
4,32,1.0067,healthProv,32
4,33,1.0216,medicalUti,33
4,34,1.0187,erCare_re,34
4,35,1.0044,sapro_lf,35
4,36,1.0511,hivpp_lf,36
4,37,1.0024,homeless_l,37
4,38,1.0222,incarcerat,38
4,39,1.007,ipv_lf,39
4,40,1.0017,sexex_lf,40
4,41,1.006,suicide_lf,41
4,42,1.0017999,hospitalmh,42
4,43,1.0046,sexab_lf,43
4,44,1.0152,tmx5old_lf,44
4,45,1.0283999,tmrob_lf,45
4,46,1.0302,tmotinj_lf,46
4,47,1.0309,tmotmdr_lf,47
4,48,1.0111001,xdrug_r,48
4,49,1.0035,smoke_lf,49
4,50,1.0065, Residual Var. ,50
4,51,1.0073, Grand Mean,51
4,52,1.0025001,depression,52
4,53,1.0068001,age,53
4,54,1.003,count_lf,54
4,55,1.0043,ptsd,55
4,56,1.0033,anxietyr,56
4,57,1.0044,sadr,57
4,58,1.0025001,intfsocr,58
4,59,1.0146,energr,59
4,60,1.0082,anxiety_ra,60
4,61,1.0038,srMentH,61
4,62,1.0105,srPhysH,62
4,63,1.0038,srLivSit,63
4,64,1.006,srDrugFree,64
4,65,1.0003999,srSocNet,65
4,66,1.0022,srSexRx,66
4,67,1.0035,ssHelp,67
4,68,1.0086,ssEmoHelp,68
4,69,1.0068001,ssNewFri,69
4,70,1.0042,smAppFreq,70
4,71,1.0039001,datingAppF,71
4,72,1.0035,losAng,72
4,73,1.0016,RaceEthnic#2,73
4,74,1.0102,RaceEthnic#3,74
4,75,1.0082,RaceEthnic#4,75
4,76,1.0132,female,76
4,77,1.0001,cis,77
4,78,1.0114,heterosexu,78
4,79,1.0502,employed,79
4,80,1.0422,poverty,80
4,81,1.0107,insured,81
4,82,1.0082,healthProv,82
4,83,1.0099,medicalUti,83
4,84,1.0096,erCare_re,84
4,85,1.0007,sapro_lf,85
4,86,1.0089999,hivpp_lf,86
4,87,1.0025001,homeless_l,87
4,88,1.0208,incarcerat,88
4,89,1.0111001,ipv_lf,89
4,90,1.0106,sexex_lf,90
4,91,1.0017,suicide_lf,91
4,92,1.0089,hospitalmh,92
4,93,1.0071,sexab_lf,93
4,94,1.0253,tmx5old_lf,94
4,95,1.0109,tmrob_lf,95
4,96,1.005,tmotinj_lf,96
4,97,1.0164,tmotmdr_lf,97
4,98,1.0085,xdrug_r,98
4,99,1.0053999,smoke_lf,99
4,100,1.0028, Residual Var. ,100
4,101,1.0103, Grand Mean,101
4,102,1.0017999,depression,102
4,103,1.0012,age,103
4,104,1.0019,audit_c,104
4,105,1.0029,ptsd,105
4,106,1.0003999,anxietyr,106
4,107,1.0045,sadr,107
4,108,1.0016,intfsocr,108
4,109,1.0006,energr,109
4,110,1.0074,anxiety_ra,110
4,111,1.0111001,srMentH,111
4,112,1.0029,srPhysH,112
4,113,1.0058,srLivSit,113
4,114,1.002,srDrugFree,114
4,115,1.0053999,srSocNet,115
4,116,1.0073,srSexRx,116
4,117,1.0024,ssHelp,117
4,118,1.0039001,ssEmoHelp,118
4,119,1.0019,ssNewFri,119
4,120,1.0063,smAppFreq,120
4,121,1.0043,datingAppF,121
4,122,1.0075999,losAng,122
4,123,1.0081,RaceEthnic#2,123
4,124,1.0067,RaceEthnic#3,124
4,125,1.0036,RaceEthnic#4,125
4,126,1.0164,female,126
4,127,1.0016,cis,127
4,128,1.0014,heterosexu,128
4,129,1.0038,employed,129
4,130,1.0046999,poverty,130
4,131,1.0404,insured,131
4,132,1.0222,healthProv,132
4,133,1.0032001,medicalUti,133
4,134,1.0102,erCare_re,134
4,135,1.0024,sapro_lf,135
4,136,1.0217,hivpp_lf,136
4,137,1.0036,homeless_l,137
4,138,1.0178,incarcerat,138
4,139,1.0007,ipv_lf,139
4,140,1.0079,sexex_lf,140
4,141,1.021,suicide_lf,141
4,142,1.0131,hospitalmh,142
4,143,1.0052,sexab_lf,143
4,144,1.0154001,tmx5old_lf,144
4,145,1.0176001,tmrob_lf,145
4,146,1.0026,tmotinj_lf,146
4,147,1.0075001,tmotmdr_lf,147
4,148,1.0045,xdrug_r,148
4,149,1.0093,smoke_lf,149
4,150,1.0013, Residual Var.,150
4,151,1.0156, Grand Mean,151
4,152,1.0118001,depression,152
4,153,1.0003999,age,153
4,154,1.0023,audit_c,154
4,155,1.0003,count_lf,155
4,156,1.0002,anxietyr,156
4,157,1.0021,sadr,157
4,158,1.0069,intfsocr,158
4,159,1.0016,energr,159
4,160,1.0016,anxiety_ra,160
4,161,1.0017,srMentH,161
4,162,1.0088,srPhysH,162
4,163,1.0075001,srLivSit,163
4,164,1.007,srDrugFree,164
4,165,1.0002,srSocNet,165
4,166,1.0015,srSexRx,166
4,167,1.0048,ssHelp,167
4,168,1.0005,ssEmoHelp,168
4,169,1.0017,ssNewFri,169
4,170,1.0021,smAppFreq,170
4,171,1.0024,datingAppF,171
4,172,1.0008,losAng,172
4,173,1.0131,RaceEthnic#2,173
4,174,1.0031,RaceEthnic#3,174
4,175,1.0071,RaceEthnic#4,175
4,176,1.0063,female,176
4,177,1.0062,cis,177
4,178,1.0026,heterosexu,178
4,179,1.0228,employed,179
4,180,1.0077,poverty,180
4,181,1.0623,insured,181
4,182,1.0373,healthProv,182
4,183,1.0069,medicalUti,183
4,184,1.0078,erCare_re,184
4,185,1.0071,sapro_lf,185
4,186,1.001,hivpp_lf,186
4,187,1.0046999,homeless_l,187
4,188,1.0051,incarcerat,188
4,189,1.0028,ipv_lf,189
4,190,1.0041,sexex_lf,190
4,191,1.0072,suicide_lf,191
4,192,1.0036,hospitalmh,192
4,193,1.0001,sexab_lf,193
4,194,1.0051,tmx5old_lf,194
4,195,1.0204999,tmrob_lf,195
4,196,1.0042,tmotinj_lf,196
4,197,1.0088,tmotmdr_lf,197
4,198,1.0039001,xdrug_r,198
4,199,1.021,smoke_lf,199
4,200,1.003, Residual Var.,200
4,201,1.0146, Grand Mean,201
4,202,1.0017,depression,202
4,203,1.0089999,age,203
4,204,1.002,audit_c,204
4,205,1.0017,count_lf,205
4,206,1.0006,ptsd,206
4,207,1.0036,sadr,207
4,208,1.003,intfsocr,208
4,209,1.0019,energr,209
4,210,1.0002,anxiety_ra,210
4,211,1.0046999,srMentH,211
4,212,1.0003,srPhysH,212
4,213,1.0017,srLivSit,213
4,214,1.0061001,srDrugFree,214
4,215,1.0034,srSocNet,215
4,216,1.0001,srSexRx,216
4,217,1.0082,ssHelp,217
4,218,1.0055,ssEmoHelp,218
4,219,1.0048,ssNewFri,219
4,220,1.0038,smAppFreq,220
4,221,1.0147001,datingAppF,221
4,222,1.0043,losAng,222
4,223,1.0023,RaceEthnic#2,223
4,224,1.005,RaceEthnic#3,224
4,225,1.003,RaceEthnic#4,225
4,226,1.0052,female,226
4,227,1.0010999,cis,227
4,228,1.0043,heterosexu,228
4,229,1.0103,employed,229
4,230,1.0240999,poverty,230
4,231,1.0123,insured,231
4,232,1.0096,healthProv,232
4,233,1.0087,medicalUti,233
4,234,1.0023,erCare_re,234
4,235,1.0029,sapro_lf,235
4,236,1.0168999,hivpp_lf,236
4,237,1.0098,homeless_l,237
4,238,1.0052,incarcerat,238
4,239,1.0045,ipv_lf,239
4,240,1.0226001,sexex_lf,240
4,241,1.0064,suicide_lf,241
4,242,1.0032001,hospitalmh,242
4,243,1.0172,sexab_lf,243
4,244,1.0161,tmx5old_lf,244
4,245,1.0124,tmrob_lf,245
4,246,1.0052,tmotinj_lf,246
4,247,1.0066,tmotmdr_lf,247
4,248,1.0204999,xdrug_r,248
4,249,1.0012,smoke_lf,249
4,250,1.0021, Residual Var.,250
4,251,1.0135, Grand Mean,251
4,252,1.0015,depression,252
4,253,1.006,age,253
4,254,1.008,audit_c,254
4,255,1.0048,count_lf,255
4,256,1.0038,ptsd,256
4,257,1.0048,anxietyr,257
4,258,1.0043,intfsocr,258
4,259,1.0028,energr,259
4,260,1.011,anxiety_ra,260
4,261,1.0055,srMentH,261
4,262,1.0036,srPhysH,262
4,263,1.005,srLivSit,263
4,264,1.0028,srDrugFree,264
4,265,1.0006,srSocNet,265
4,266,1.0064,srSexRx,266
4,267,1.0031,ssHelp,267
4,268,1.0037,ssEmoHelp,268
4,269,1.0003999,ssNewFri,269
4,270,1.0034,smAppFreq,270
4,271,1.0003999,datingAppF,271
4,272,1.0014,losAng,272
4,273,1.0129,RaceEthnic#2,273
4,274,1.0084,RaceEthnic#3,274
4,275,1.0058,RaceEthnic#4,275
4,276,1.008,female,276
4,277,1.002,cis,277
4,278,1.0056,heterosexu,278
4,279,1.002,employed,279
4,280,1.0063,poverty,280
4,281,1.0108,insured,281
4,282,1.0161999,healthProv,282
4,283,1.0101,medicalUti,283
4,284,1.0089,erCare_re,284
4,285,1.0025001,sapro_lf,285
4,286,1.0288,hivpp_lf,286
4,287,1.0057,homeless_l,287
4,288,1.0109,incarcerat,288
4,289,1.0045,ipv_lf,289
4,290,1.0057,sexex_lf,290
4,291,1.0247999,suicide_lf,291
4,292,1.0211999,hospitalmh,292
4,293,1.0098,sexab_lf,293
4,294,1.0082,tmx5old_lf,294
4,295,1.0546,tmrob_lf,295
4,296,1.0228,tmotinj_lf,296
4,297,1.0044,tmotmdr_lf,297
4,298,1.0029,xdrug_r,298
4,299,1.0059,smoke_lf,299
4,300,1.0052, Residual Var.,300
4,301,1.0102, Grand Mean,301
4,302,1.0038,depression,302
4,303,1.0005,age,303
4,304,1.0019,audit_c,304
4,305,1.0041,count_lf,305
4,306,1.0003,ptsd,306
4,307,1.003,anxietyr,307
4,308,1.0017,sadr,308
4,309,1.0024,energr,309
4,310,1.0055,anxiety_ra,310
4,311,1.002,srMentH,311
4,312,1.0017,srPhysH,312
4,313,1.0006,srLivSit,313
4,314,1.0026,srDrugFree,314
4,315,1.0010999,srSocNet,315
4,316,1.0075999,srSexRx,316
4,317,1.0064,ssHelp,317
4,318,1.0026,ssEmoHelp,318
4,319,1.0005,ssNewFri,319
4,320,1.0043,smAppFreq,320
4,321,1.0071,datingAppF,321
4,322,1.0003,losAng,322
4,323,1.0012,RaceEthnic#2,323
4,324,1.0096999,RaceEthnic#3,324
4,325,1.0081,RaceEthnic#4,325
4,326,1.0032001,female,326
4,327,1.0089999,cis,327
4,328,1.0104001,heterosexu,328
4,329,1.0013,employed,329
4,330,1.0015,poverty,330
4,331,1.0145,insured,331
4,332,1.0281,healthProv,332
4,333,1.0233001,medicalUti,333
4,334,1.0084,erCare_re,334
4,335,1.0017,sapro_lf,335
4,336,1.0136,hivpp_lf,336
4,337,1.0035,homeless_l,337
4,338,1.0056,incarcerat,338
4,339,1.0066,ipv_lf,339
4,340,1.0144,sexex_lf,340
4,341,1.0015,suicide_lf,341
4,342,1.003,hospitalmh,342
4,343,1.0034,sexab_lf,343
4,344,1.005,tmx5old_lf,344
4,345,1.0209,tmrob_lf,345
4,346,1.0312999,tmotinj_lf,346
4,347,1.0275,tmotmdr_lf,347
4,348,1.0021,xdrug_r,348
4,349,1.0053999,smoke_lf,349
4,350,1.0046999, Residual Var.,350
4,351,1.031, Grand Mean,351
4,352,1.0096,depression,352
4,353,1.0092,age,353
4,354,1.006,audit_c,354
4,355,1.0005,count_lf,355
4,356,1.0036,ptsd,356
4,357,1.0009,anxietyr,357
4,358,1.006,sadr,358
4,359,1.0017999,intfsocr,359
4,360,1.007,anxiety_ra,360
4,361,1.0007,srMentH,361
4,362,1.0032001,srPhysH,362
4,363,1.0003,srLivSit,363
4,364,1.0171,srDrugFree,364
4,365,1.002,srSocNet,365
4,366,1.0075999,srSexRx,366
4,367,1.0033,ssHelp,367
4,368,1.0103,ssEmoHelp,368
4,369,1.0029,ssNewFri,369
4,370,1.0043,smAppFreq,370
4,371,1.0105,datingAppF,371
4,372,1.0081,losAng,372
4,373,1.003,RaceEthnic#2,373
4,374,1.0008,RaceEthnic#3,374
4,375,1.0006,RaceEthnic#4,375
4,376,1.0061001,female,376
4,377,1.0147001,cis,377
4,378,1.0043,heterosexu,378
4,379,1.0199,employed,379
4,380,1.0292,poverty,380
4,381,1.024,insured,381
4,382,1.0141,healthProv,382
4,383,1.0073,medicalUti,383
4,384,1.0157,erCare_re,384
4,385,1.0064,sapro_lf,385
4,386,1.0131,hivpp_lf,386
4,387,1.0036,homeless_l,387
4,388,1.0534,incarcerat,388
4,389,1.0118999,ipv_lf,389
4,390,1.0175,sexex_lf,390
4,391,1.0061001,suicide_lf,391
4,392,1.0027,hospitalmh,392
4,393,1.0108,sexab_lf,393
4,394,1.0089,tmx5old_lf,394
4,395,1.0281,tmrob_lf,395
4,396,1.0052,tmotinj_lf,396
4,397,1.0115,tmotmdr_lf,397
4,398,1.017,xdrug_r,398
4,399,1.0009,smoke_lf,399
4,400,1.0034, Residual Var.,400
4,401,1.0424, Grand Mean,401
4,402,1.0104001,depression,402
4,403,1.0044,age,403
4,404,1.0009,audit_c,404
4,405,1.0066,count_lf,405
4,406,1.0026,ptsd,406
4,407,1.0014,anxietyr,407
4,408,1.0187,sadr,408
4,409,1.0075001,intfsocr,409
4,410,1.0129,energr,410
4,411,1.0048,srMentH,411
4,412,1.0005,srPhysH,412
4,413,1.0022,srLivSit,413
4,414,1.0023,srDrugFree,414
4,415,1.001,srSocNet,415
4,416,1.006,srSexRx,416
4,417,1.0029,ssHelp,417
4,418,1.0032001,ssEmoHelp,418
4,419,1.0039999,ssNewFri,419
4,420,1.0017,smAppFreq,420
4,421,1.0008,datingAppF,421
4,422,1.0145,losAng,422
4,423,1.0071,RaceEthnic#2,423
4,424,1.0087,RaceEthnic#3,424
4,425,1.0036,RaceEthnic#4,425
4,426,1.0041,female,426
4,427,1.0102,cis,427
4,428,1.0044,heterosexu,428
4,429,1.0077,employed,429
4,430,1.0052,poverty,430
4,431,1.0116,insured,431
4,432,1.0099,healthProv,432
4,433,1.0148,medicalUti,433
4,434,1.0032001,erCare_re,434
4,435,1.0056,sapro_lf,435
4,436,1.0099,hivpp_lf,436
4,437,1.0042,homeless_l,437
4,438,1.0096999,incarcerat,438
4,439,1.0003999,ipv_lf,439
4,440,1.0052,sexex_lf,440
4,441,1.0131,suicide_lf,441
4,442,1.0025001,hospitalmh,442
4,443,1.0089,sexab_lf,443
4,444,1.0061001,tmx5old_lf,444
4,445,1.0265,tmrob_lf,445
4,446,1.0292,tmotinj_lf,446
4,447,1.0273,tmotmdr_lf,447
4,448,1.0053999,xdrug_r,448
4,449,1.0012,smoke_lf,449
4,450,1.0003999, Residual Var.,450
4,451,1.0211999, Grand Mean,451
4,452,1.0024,depression,452
4,453,1.0115,age,453
4,454,1.0003,audit_c,454
4,455,1.0035,count_lf,455
4,456,1.0075999,ptsd,456
4,457,1.0044,anxietyr,457
4,458,1.0026,sadr,458
4,459,1.002,intfsocr,459
4,460,1.0010999,energr,460
4,461,1.0017,anxiety_ra,461
4,462,1.0094,srPhysH,462
4,463,1.0008,srLivSit,463
4,464,1.0007,srDrugFree,464
4,465,1.0035,srSocNet,465
4,466,1.0118001,srSexRx,466
4,467,1.0056,ssHelp,467
4,468,1.0085,ssEmoHelp,468
4,469,1.0008,ssNewFri,469
4,470,1.0049,smAppFreq,470
4,471,1.0025001,datingAppF,471
4,472,1.0074,losAng,472
4,473,1.0046999,RaceEthnic#2,473
4,474,1.0089999,RaceEthnic#3,474
4,475,1.0061001,RaceEthnic#4,475
4,476,1.0082,female,476
4,477,1.0032001,cis,477
4,478,1.0143,heterosexu,478
4,479,1.0201,employed,479
4,480,1.0298001,poverty,480
4,481,1.01,insured,481
4,482,1.0044,healthProv,482
4,483,1.0058,medicalUti,483
4,484,1.0156,erCare_re,484
4,485,1.0014,sapro_lf,485
4,486,1.0117,hivpp_lf,486
4,487,1.0052,homeless_l,487
4,488,1.0115,incarcerat,488
4,489,1.0066,ipv_lf,489
4,490,1.0207,sexex_lf,490
4,491,1.0052,suicide_lf,491
4,492,1.0081,hospitalmh,492
4,493,1.0041,sexab_lf,493
4,494,1.0089,tmx5old_lf,494
4,495,1.0029,tmrob_lf,495
4,496,1.0061001,tmotinj_lf,496
4,497,1.0106,tmotmdr_lf,497
4,498,1.0049,xdrug_r,498
4,499,1.0089999,smoke_lf,499
4,500,1.0027, Residual Var.,500
4,501,1.0204, Grand Mean,501
4,502,1.0028,depression,502
4,503,1.0013,age,503
4,504,1.0025001,audit_c,504
4,505,1.0031,count_lf,505
4,506,1.0037,ptsd,506
4,507,1.0015,anxietyr,507
4,508,1.0027,sadr,508
4,509,nan,intfsocr,509
4,510,1.0017999,energr,510
4,511,1.0042,anxiety_ra,511
4,512,1.0068001,srMentH,512
4,513,1.0012,srLivSit,513
4,514,1.0048,srDrugFree,514
4,515,1.0003,srSocNet,515
4,516,1.0057,srSexRx,516
4,517,1.0003,ssHelp,517
4,518,1.0034,ssEmoHelp,518
4,519,1.0010999,ssNewFri,519
4,520,1.0067,smAppFreq,520
4,521,1.0072,datingAppF,521
4,522,1.001,losAng,522
4,523,1.0057,RaceEthnic#2,523
4,524,1.0059,RaceEthnic#3,524
4,525,1.0001,RaceEthnic#4,525
4,526,1.0087,female,526
4,527,1.001,cis,527
4,528,1.0063,heterosexu,528
4,529,1.0324,employed,529
4,530,1.024,poverty,530
4,531,1.0096999,insured,531
4,532,1.018,healthProv,532
4,533,1.0225,medicalUti,533
4,534,1.03,erCare_re,534
4,535,1.0031,sapro_lf,535
4,536,1.0046999,hivpp_lf,536
4,537,1.0005,homeless_l,537
4,538,1.0111001,incarcerat,538
4,539,1.0078,ipv_lf,539
4,540,1.0131,sexex_lf,540
4,541,1.0019,suicide_lf,541
4,542,1.0014,hospitalmh,542
4,543,1.0081,sexab_lf,543
4,544,1.0112,tmx5old_lf,544
4,545,1.0025001,tmrob_lf,545
4,546,1.0106,tmotinj_lf,546
4,547,1.0056,tmotmdr_lf,547
4,548,1.0031,xdrug_r,548
4,549,1.0002,smoke_lf,549
4,550,1.0039001, Residual Var.,550
4,551,1.0161, Grand Mean,551
4,552,1.0009,depression,552
4,553,1.0269001,age,553
4,554,1.0022,audit_c,554
4,555,1.0085,count_lf,555
4,556,1.0115,ptsd,556
4,557,1.0053,anxietyr,557
4,558,1.0046999,sadr,558
4,559,1.0045,intfsocr,559
4,560,1.0005,energr,560
4,561,1.0034,anxiety_ra,561
4,562,1.0063,srMentH,562
4,563,1.0042,srPhysH,563
4,564,1.0084,srDrugFree,564
4,565,1.0065,srSocNet,565
4,566,1.0081,srSexRx,566
4,567,1.0037,ssHelp,567
4,568,1.0016,ssEmoHelp,568
4,569,1.0005,ssNewFri,569
4,570,nan,smAppFreq,570
4,571,1.0015,datingAppF,571
4,572,1.0025001,losAng,572
4,573,1.0042,RaceEthnic#2,573
4,574,1.0071,RaceEthnic#3,574
4,575,1.0022,RaceEthnic#4,575
4,576,1.0056,female,576
4,577,1.0033,cis,577
4,578,1.0066,heterosexu,578
4,579,1.0216,employed,579
4,580,1.0159,poverty,580
4,581,1.0067,insured,581
4,582,1.0038,healthProv,582
4,583,1.0204999,medicalUti,583
4,584,1.0219001,erCare_re,584
4,585,1.0059,sapro_lf,585
4,586,1.0344,hivpp_lf,586
4,587,1.0019,homeless_l,587
4,588,1.0078,incarcerat,588
4,589,1.0053999,ipv_lf,589
4,590,1.0033,sexex_lf,590
4,591,1.0107,suicide_lf,591
4,592,1.0091,hospitalmh,592
4,593,1.0075999,sexab_lf,593
4,594,1.0092,tmx5old_lf,594
4,595,1.0032001,tmrob_lf,595
4,596,1.0156,tmotinj_lf,596
4,597,1.0103,tmotmdr_lf,597
4,598,1.0057,xdrug_r,598
4,599,1.0096,smoke_lf,599
4,600,1.0055, Residual Var.,600
4,601,1.0226001, Grand Mean,601
4,602,1.0065,depression,602
4,603,1.0038,age,603
4,604,1.0042,audit_c,604
4,605,1.0017,count_lf,605
4,606,1.0043,ptsd,606
4,607,1.0010999,anxietyr,607
4,608,1.0033,sadr,608
4,609,1.0014,intfsocr,609
4,610,1.0026,energr,610
4,611,1.0017,anxiety_ra,611
4,612,1.0037,srMentH,612
4,613,1.0005,srPhysH,613
4,614,1.0031,srLivSit,614
4,615,1.0015,srSocNet,615
4,616,1.0025001,srSexRx,616
4,617,1.0039999,ssHelp,617
4,618,1.0029,ssEmoHelp,618
4,619,1.0028,ssNewFri,619
4,620,1.0099,smAppFreq,620
4,621,1.0028,datingAppF,621
4,622,1.0013,losAng,622
4,623,1.0005,RaceEthnic#2,623
4,624,1.0031,RaceEthnic#3,624
4,625,1.0135,RaceEthnic#4,625
4,626,1.0033,female,626
4,627,1.0002,cis,627
4,628,1.0095,heterosexu,628
4,629,1.0062,employed,629
4,630,1.0055,poverty,630
4,631,1.0181,insured,631
4,632,1.0316,healthProv,632
4,633,1.0067,medicalUti,633
4,634,1.0208,erCare_re,634
4,635,1.0092,sapro_lf,635
4,636,1.0065,hivpp_lf,636
4,637,1.0024,homeless_l,637
4,638,1.0228,incarcerat,638
4,639,1.0025001,ipv_lf,639
4,640,1.0056,sexex_lf,640
4,641,1.0118001,suicide_lf,641
4,642,1.0122,hospitalmh,642
4,643,1.0028,sexab_lf,643
4,644,1.0045,tmx5old_lf,644
4,645,1.0089999,tmrob_lf,645
4,646,1.0003,tmotinj_lf,646
4,647,1.0062,tmotmdr_lf,647
4,648,1.007,xdrug_r,648
4,649,1.0053,smoke_lf,649
4,650,1.0039999, Residual Var.,650
4,651,1.0149, Grand Mean,651
4,652,1.001,depression,652
4,653,1.011,age,653
4,654,1.0033,audit_c,654
4,655,1.0049,count_lf,655
4,656,1.0009,ptsd,656
4,657,1.0007,anxietyr,657
4,658,1.0005,sadr,658
4,659,1.0124,intfsocr,659
4,660,1.0009,energr,660
4,661,1.0027,anxiety_ra,661
4,662,1.0021,srMentH,662
4,663,1.0025001,srPhysH,663
4,664,1.0031,srLivSit,664
4,665,1.0010999,srDrugFree,665
4,666,1.0038,srSexRx,666
4,667,1.0063,ssHelp,667
4,668,1.0017999,ssEmoHelp,668
4,669,1.0028,ssNewFri,669
4,670,1.0022,smAppFreq,670
4,671,1.0024,datingAppF,671
4,672,1.0233999,losAng,672
4,673,1.0046,RaceEthnic#2,673
4,674,1.0029,RaceEthnic#3,674
4,675,1.0038,RaceEthnic#4,675
4,676,1.0024,female,676
4,677,1.0036,cis,677
4,678,1.0005,heterosexu,678
4,679,1.0104001,employed,679
4,680,1.0055,poverty,680
4,681,1.0026,insured,681
4,682,1.0006,healthProv,682
4,683,1.0006,medicalUti,683
4,684,1.0027,erCare_re,684
4,685,1.002,sapro_lf,685
4,686,1.0332,hivpp_lf,686
4,687,1.0046,homeless_l,687
4,688,1.0006,incarcerat,688
4,689,1.0207,ipv_lf,689
4,690,1.0022,sexex_lf,690
4,691,1.0108,suicide_lf,691
4,692,1.0099,hospitalmh,692
4,693,1.0096,sexab_lf,693
4,694,1.0095,tmx5old_lf,694
4,695,1.0019,tmrob_lf,695
4,696,1.0098,tmotinj_lf,696
4,697,1.0064,tmotmdr_lf,697
4,698,1.0041,xdrug_r,698
4,699,1.003,smoke_lf,699
4,700,1.0013, Residual Var.,700
4,701,1.0066, Grand Mean,701
4,702,1.0013,depression,702
4,703,1.0066,age,703
4,704,1.0129,audit_c,704
4,705,1.0016,count_lf,705
4,706,1.0065,ptsd,706
4,707,1.0023,anxietyr,707
4,708,1.0051,sadr,708
4,709,1.0062,intfsocr,709
4,710,1.003,energr,710
4,711,1.0038,anxiety_ra,711
4,712,1.0072,srMentH,712
4,713,1.0074,srPhysH,713
4,714,1.0065,srLivSit,714
4,715,1.0307,srDrugFree,715
4,716,1.0015,srSocNet,716
4,717,1.0038,ssHelp,717
4,718,1.0026,ssEmoHelp,718
4,719,1.0006,ssNewFri,719
4,720,1.0053,smAppFreq,720
4,721,1.0007,datingAppF,721
4,722,1.0061001,losAng,722
4,723,1.0096,RaceEthnic#2,723
4,724,1.0074,RaceEthnic#3,724
4,725,1.012,RaceEthnic#4,725
4,726,1.0113,female,726
4,727,1.0046999,cis,727
4,728,1.0197999,heterosexu,728
4,729,1.0178,employed,729
